Ticker,Description,Sector,Exchange
POLICYBZR,PB FINTECH LTD,Technology Services,NSE
HERANBA,HERANBA INDUSTRIES LTD,Process Industries,NSE
SHAKTIPUMP,SHAKTI PUMPS INDIA,Producer Manufacturing,NSE
SITINET,SITI NETWORKS LTD,Consumer Services,NSE
PNBHOUSING,PNB HOUSING,Finance,NSE
SPENTEX,SPENTEX,Process Industries,NSE
FCONSUMER,FUTURE CONSUMER LTD,Consumer Non-Durables,NSE
KALYANKJIL,KALYAN JEWELLERS IND LTD,Retail Trade,NSE
SHRITECH,SHRI TECHTEX LTD,Process Industries,NSE
PRUDMOULI,PRUDENTIAL SUGAR C,Process Industries,NSE
UTTAMSUGAR,UTTAM SUGAR MILLS,Process Industries,NSE
VINATIORGA,VINATI ORGANICS,Process Industries,NSE
SECURCRED,SECUR CREDENTIALS LTD,Commercial Services,NSE
VTL,VARDHMAN TEXTILES,Process Industries,NSE
SULA,SULA VINEYARDS LTD,Process Industries,NSE
PRESTIGE,PRESTIGE ESTATES P,Finance,NSE
HITECH,HI TECH PIPES LTD,Non-Energy Minerals,NSE
PGEL,PG ELECTROPLAST LTD,Electronic Technology,NSE
IMC1.N0,SEC RE NCGB 8.25% STRPP A,,NSE
ONELIFECAP,ONELIFE CAPITAL AD,Finance,NSE
AGUL.ST,A G UNIVERSAL LTD,Non-Energy Minerals,NSE
STEELCAS,STEELCAST LTD,Non-Energy Minerals,NSE
NATIONALUM,NATIONAL ALUMINUM,Non-Energy Minerals,NSE
DSPSILVETF,DSPAMC - DSPSILVETF,Miscellaneous,NSE
MARATHON,MARATHON NEXTGEN,Finance,NSE
CALSOFT,CALIFORNIA SOFTWAR,Technology Services,NSE
VARDMNPOLY,VARDHMAN POLYTEX,Process Industries,NSE
MMTC,MMTC,Distribution Services,NSE
KCP,KCP LTD,Producer Manufacturing,NSE
AAVAS,AAVAS FINANCIERS L,Finance,NSE
SPTL,SINTEX PLASTICS TE,Producer Manufacturing,NSE
SUNDRMFAST,SUNDRAM FASTNERS,Producer Manufacturing,NSE
TTML,TATA TELESERVICES,Communications,NSE
CHOICEIN,CHOICE INTERNATIONAL LTD,Commercial Services,NSE
SHIVAMAUTO,SHIVAM AUTOTECH LTD,Producer Manufacturing,NSE
YCCL,YASONS CHEMEX CARE,Process Industries,NSE
LATENTVIEW,LATENT VIEW ANALYTICS LTD,Commercial Services,NSE
PALREDTEC,PALRED TECHNOLOGIE,Distribution Services,NSE
AARTIPHARM,AARTI PHARMALABS LTD,Health Technology,NSE
LAL,LORENZINI APPARELS LTD,Consumer Non-Durables,NSE
PIIND,PI INDUSTRIES,Process Industries,NSE
SUPRAJIT,SUPRAJIT ENG LTD,Producer Manufacturing,NSE
HDFCQUAL,HDFCAMC - HDFCQUAL,Miscellaneous,NSE
ALICON,ALICON CASTALLOY L,Producer Manufacturing,NSE
SAMPANN,SAMPANN UTPADAN INDIA LTD,Producer Manufacturing,NSE
BBETF0432,EDELAMC - BBETF0432,Miscellaneous,NSE
SETFGOLD,SBI MUTUAL FUND,Miscellaneous,NSE
MIDCAPETF,MIRAEAMC - MAM150ETF,Miscellaneous,NSE
HGINFRA,H.G. INFRA ENGINEE,Industrial Services,NSE
PRIMESECU,PRIME SECURITIES,Finance,NSE
NECCLTD,NORTH EASTERN CARR,Transportation,NSE
SANGANI,SANGANI HOSPITALS,Health Services,NSE
NIACL,THE NEW INDIA ASSU,Finance,NSE
SHANTHALA,SHANTHALA FMCG PRO,Distribution Services,NSE
SHYAMCENT,SHYAM CENTURY FERR,Non-Energy Minerals,NSE
ALEMBICLTD,ALEMBIC LTD,Health Technology,NSE
JYOTHYLAB,JYOTHY LABS LTD,Consumer Non-Durables,NSE
ZEELEARN,ZEE LEARN LTD,Consumer Services,NSE
CIGNITITEC,CIGNITI TECHNOLOGI,Technology Services,NSE
NINSYS,NINTEC SYSTEMS LTD,Technology Services,NSE
ETHOSLTD,ETHOS LTD,Retail Trade,NSE
INNOVACAP,INNOVA CAPTAB LTD,Health Technology,NSE
INDIGRID,INDIA GRID TRUST,Finance,NSE
BBTCL,B&B TRIPLEWALL CONT LTD,Process Industries,NSE
SRHHYPOLTD,SREE RAYALASEEMA H,Process Industries,NSE
CUBEXTUB,CUBEX TUBINGS,Non-Energy Minerals,NSE
STEELXIND,STEEL EXCHANGE IND,Non-Energy Minerals,NSE
EPL,EPL LTD,Process Industries,NSE
GANGAFORGE,GANGA FORGING LTD,Producer Manufacturing,NSE
HDFCGOLD,HDFC GOLD ETF,Miscellaneous,NSE
GLAXO,GLAXO SMITHKLINE P,Health Technology,NSE
HERCULES,HERCULES HOISTS,Producer Manufacturing,NSE
TEAMLEASE,TEAMLEASE SERVICES,Commercial Services,NSE
MODIRUBBER,MODI RUBBER,Consumer Durables,NSE
KLL.ST,KAUSHALYA LOGISTICS LTD,Transportation,NSE
CLEAN,CLEAN SCIENCE & TECH LTD,Process Industries,NSE
QUICKHEAL,QUICK HEAL TECHNOL,Technology Services,NSE
SSWL,STEEL STRIPS WHEEL,Producer Manufacturing,NSE
MCDOWELL_N,UNITED SPIRITS,Consumer Non-Durables,NSE
CGCL,CAPRI GLOBAL CAPIT,Finance,NSE
HDFCNEXT50,HDFCAMC - HDFCNEXT50,Miscellaneous,NSE
ACCURACY,ACCURACY SHIPPING LTD,Transportation,NSE
PARAGON,PARAGON FINE AND S,Process Industries,NSE
PGINVIT,POWERGRID INFRA. INVITS,Utilities,NSE
GREENPLY,GREENPLY INDUSTRIE,Producer Manufacturing,NSE
RELIGARE,RELIGARE ENTERPRIS,Finance,NSE
TRIGYN,TRIGYN TECHNOLOGIE,Technology Services,NSE
SECURKLOUD,SECUREKLOUD TECH LTD,Technology Services,NSE
UNIDT,UNITED DRILLING TOOLS LTD,Industrial Services,NSE
LTGILTBEES,NIP IND ETF LONGTERM GILT,Miscellaneous,NSE
MARINE,MARINE ELECTRICAL (I) LTD,Distribution Services,NSE
VERANDA,VERANDA LEARNING SOL LTD,Commercial Services,NSE
SCHAND,S CHAND AND COMPAN,Consumer Services,NSE
APOLLOTYRE,APOLLO TYRES,Consumer Durables,NSE
SIMBHALS,SIMBHAOLI SUGARS L,Process Industries,NSE
GSFC,GUJARAT STATE FER,Process Industries,NSE
POLYCAB,POLYCAB INDIA LTD,Producer Manufacturing,NSE
VARDHACRLC,VARDHMAN ACRYLICS,Consumer Non-Durables,NSE
GNA,GNA AXLES LTD,Producer Manufacturing,NSE
NILKAMAL,NILKAMAL LTD,Consumer Durables,NSE
MEDANTA,GLOBAL HEATH LTD.,Health Services,NSE
WANBURY,WANBURY LTD,Health Technology,NSE
ENIL,ENTERTAINMENT NETW,Consumer Services,NSE
FLAIR,FLAIR WRITING INDUST LTD,Producer Manufacturing,NSE
MOM100,MOTILAL OS MIDCAP100 ETF,Miscellaneous,NSE
EASTSILK,EASTERN SILK IND,Process Industries,NSE
VIKASECO,VIKAS ECOTECH LIMI,Process Industries,NSE
MANALIPETC,MANALI PETROCHEMS,Process Industries,NSE
COROMANDEL,COROMANDEL INTL,Process Industries,NSE
GAYAHWS,GAYATRI HIGHWAYS L,Industrial Services,NSE
BAYERCROP,BAYER CROPSCIENCE,Process Industries,NSE
DEEPENR,DEEP ENE RESOURCES LTD,Industrial Services,NSE
ACEINTEG,ACE INTEGRATED SOLU. LTD.,Technology Services,NSE
VCL,VAXTEX COTFAB LTD,Process Industries,NSE
NV20BEES,NIP IND ETF ETF NV20,Miscellaneous,NSE
ADANIGREEN,ADANI GREEN ENERGY,Utilities,NSE
BANKBARODA,BK OF BARODA,Finance,NSE
WALCHANNAG,WALCHANDNAGAR IND,Producer Manufacturing,NSE
MINDPOOL.ST,MINDPOOL TECHNOLOG,Commercial Services,NSE
DJML,DJ MEDIAPRINT & LOG LTD,Commercial Services,NSE
NYKAA,FSN E COMMERCE VENTURES,Retail Trade,NSE
PANAMAPET,PANAMA PETROCHEM L,Process Industries,NSE
SCHAEFFLER,SCHAEFFLER INDIA L,Producer Manufacturing,NSE
PLASTIBLEN,PLASTIBLENDS INDIA,Process Industries,NSE
CHEMPLASTS,CHEMPLAST SANMAR LTD,Process Industries,NSE
LAGNAM,LAGNAM SPINTEX LTD,Process Industries,NSE
DIVOPPBEES,NIP IND ETF DIV OPP,Miscellaneous,NSE
ALKEM,ALKEM LAB LTD,Health Technology,NSE
WALPAR,WALPAR NUTRITIONS,Health Technology,NSE
EDELWEISS,EDELWEISS FIN SERV,Finance,NSE
MAITHANALL,MAITHAN ALLOYS LTD,Non-Energy Minerals,NSE
HDFCLOWVOL,HDFCAMC - HDFCLOWVOL,Miscellaneous,NSE
CMRSL,CYBER MEDIA RESEAR,Technology Services,NSE
LINCOLN,LINCOLN PHARMA LTD,Health Technology,NSE
DOLATALGO,DOLAT ALGOTECH LTD,Finance,NSE
WSTCSTPAPR,WEST COAST PAPER M,Producer Manufacturing,NSE
RUSTOMJEE,KEYSTONE REALTORS LTD,Finance,NSE
WOCKPHARMA,WOCKHARDT,Health Technology,NSE
SHARDACROP,SHARDA CROPCHEM,Distribution Services,NSE
ROSSARI,ROSSARI BIOTECH LTD,Process Industries,NSE
SHREEOSFM,SHREE OSFM E-MOBIL,,NSE
TITAN,TITAN COMPANY LTD,Consumer Durables,NSE
BSE,BSE LTD,Finance,NSE
MAHASTEEL,MAHAMAYA STEEL IND,Non-Energy Minerals,NSE
GEEKAYWIRE,GEEKAY WIRES LTD,Non-Energy Minerals,NSE
PGHH,PROCTER&GAMBLE IND,Consumer Non-Durables,NSE
KONTOR,KONTOR SPACE LTD,Finance,NSE
CORDSCABLE,CORDS CABLE INDUST,Producer Manufacturing,NSE
VARROC,VARROC ENGINEERING,Producer Manufacturing,NSE
INDOBORAX,INDO BORAX & CHEMICAL LTD,Process Industries,NSE
SUVENPHAR,SUVEN PHARMACEUTICALS LTD,Producer Manufacturing,NSE
PPL,PRAKASH PIPES LTD,Producer Manufacturing,NSE
TEMBO,TEMBO GLOBAL IND LTD,Producer Manufacturing,NSE
VSCL,VADIVARHE SPECIALI,Process Industries,NSE
SETFNIFBK,SBI MUTUAL FUND,Miscellaneous,NSE
TPHQ,TEAMO PRODUCTIONS HQ LTD,Industrial Services,NSE
GALLANTT,GALLANTT ISPAT LTD,Non-Energy Minerals,NSE
TIMESGTY,TIMES GUARANTY,Finance,NSE
