NIFTY 20,NIFTY 50,NIFTY NEXT 50,NIFTY 200,NIFTY MIDCAP 50,NIFTY MIDCAP 100,NIFTY MIDSMALLCAP 400,NIFTY TOTAL MARKET,NIFTY 200 cv,NSC ALL,BSE ALL
,,,,,,,,,PASUPTAC,GMM
,,,,,,,,,PATELENG,REGIS
,,,,,,,,,PATINTLOG,JONJUA
,,,,,,,,,PAYTM,LACTOSE
,,,,,,,,,PCBL,CERA
,,,,,,,,,PCJEWELLER,TRADEWELL
,,,,,,,,,PDMJEPAPER,CUPID
,,,,,,,,,PDSL,BHUDEVI
,,,,,,,,,PEARLPOLY,ARISE
,,,,,,,,,PEL,XELPMOC
,,,,,,,,,PENIND,CAMEXLTD
,,,,,,,,,PENINLAND,RSSOFTWARE
,,,,,,,,,PERSISTENT,SMLT
,,,,,,,,,PETRONET,SANCODE
,,,,,,,,,PFC,ZSWASTSA
,,,,,,,,,PFIZER,JYOTIN
,,,,,,,,,PFOCUS,DAL
,,,,,,,,,PFS,GCMSECU
,,,,,,,,,PGEL,SBGLP
,,,,,,,,,PGHH,AKI
,,,,,,,,,PGHL,ENCODE
,,,,,,,,,PGIL,MIL
,,,,,,,,,PHARMABEES,PARSHVA
,,,,,,,,,PHOENIXLTD,MUNOTHFI
,,,,,,,,,PIDILITIND,BERVINL
,,,,,,,,,PIIND,ADARSH
,,,,,,,,,PILANIINVS,KTINDF4RG
,,,,,,,,,PILITA,STOVEKRAFT
,,,,,,,,,PIONEEREMB,BLUECHIPT
,,,,,,,,,PITTIENG,CUMMINSIND
,,,,,,,,,PIXTRANS,NIBL
,,,,,,,,,PLASTIBLEN,MAN50ETF
,,,,,,,,,PNB,PIONEEREMB
,,,,,,,,,PNBGILTS,VIPULORG
,,,,,,,,,PNBHOUSING,AKSPINTEX
,,,,,,,,,PNC,HDFCBANK
,,,,,,,,,PNCINFRA,SVRL
,,,,,,,,,POCL,REETECH
,,,,,,,,,PODDARHOUS,TIAANC
,,,,,,,,,PODDARMENT,SIMRAN
,,,,,,,,,POKARNA,RAJATH
,,,,,,,,,POLICYBZR,BEARDSELL
,,,,,,,,,POLYCAB,KZLFIN
,,,,,,,,,POLYMED,EQUITASBNK
,,,,,,,,,POLYPLEX,MODINSU
,,,,,,,,,PONNIERODE,SUNCLAYLTD
,,,,,,,,,POONAWALLA,DHANROTO
,,,,,,,,,POWERGRID,DHANUKA
,,,,,,,,,POWERINDIA,MERCURYLAB
,,,,,,,,,POWERMECH,MOLDTKPAC
,,,,,,,,,PPAP,MANV30F
,,,,,,,,,PPL,NYKAA
,,,,,,,,,PPLPHARMA,NDL
,,,,,,,,,PRAENG,ABSLNN50ET
,,,,,,,,,PRAJIND,JRELTD
,,,,,,,,,PRAKASH,KAIRA
,,,,,,,,,PRAKASHSTL,AHLUCONT
,,,,,,,,,PRAXIS,TTFL
,,,,,,,,,PRECAM,SUZLON
,,,,,,,,,PRECOT,RRFIN
,,,,,,,,,PRECWIRE,SHREERAMA
,,,,,,,,,PREMEXPLN,MADHAVIPL
,,,,,,,,,PREMIERPOL,INDSOYA
,,,,,,,,,PRESSMN,JINDHOT
,,,,,,,,,PRESTIGE,MAHAANF
,,,,,,,,,PRICOLLTD,PASARI
,,,,,,,,,PRIMESECU,CORALFINAC
,,,,,,,,,PRINCEPIPE,UVDRHOR
,,,,,,,,,PRITI,ARYAMAN
,,,,,,,,,PRITIKAUTO,PTCIL
,,,,,,,,,PRIVISCL,LAURUSLABS
,,,,,,,,,PROZONINTU,TATACONSUM
,,,,,,,,,PRSMJOHNSN,MEGASOFT
,,,,,,,,,PRUDENT,FREDUN
,,,,,,,,,PSB,IOB
,,,,,,,,,PSPPROJECT,LIBERTSHOE
,,,,,,,,,PSUBANKICI,SGIL
,,,,,,,,,PSUBNKBEES,SKYIND
,,,,,,,,,PTC,JBMA
,,,,,,,,,PTL,EICHERMOT
,,,,,,,,,PUNJABCHEM,POLYPLEX
,,,,,,,,,PURVA,PREMCAP
,,,,,,,,,PVP,NIFTYBEES
,,,,,,,,,PVR,JAINCO
,,,,,,,,,QGOLDHALF,POWERGRID
,,,,,,,,,QNIFTY,PRADPME
,,,,,,,,,QUESS,ZODIACVEN
,,,,,,,,,QUICKHEAL,KRL
,,,,,,,,,RADHIKAJWE,WSTCSTPAPR
,,,,,,,,,RADIANTCMS,GALADA
,,,,,,,,,RADICO,GSS
,,,,,,,,,RADIOCITY,ARUNAHTEL
,,,,,,,,,RAILTEL,GARGFUR
,,,,,,,,,RAIN,MEP
,,,,,,,,,RAINBOW,ENGINERSIN
,,,,,,,,,RAJESHEXPO,SEJAL
,,,,,,,,,RAJMET,ATGL
,,,,,,,,,RAJRATAN,EMAMIPAP
,,,,,,,,,RAJSREESUG,ELDEHSG
,,,,,,,,,RAJTV,TRANOCE
,,,,,,,,,RALLIS,MANYAVAR
,,,,,,,,,RAMANEWS,STEP2COR
,,,,,,,,,RAMAPHO,MONGIPA
,,,,,,,,,RAMASTEEL,SIPTL-RE
,,,,,,,,,RAMCOCEM,MFSL
,,,,,,,,,RAMCOIND,SRMENERGY
,,,,,,,,,RAMCOSYS,MITSHI
,,,,,,,,,RAMKY,NATHUEC
,,,,,,,,,RAMRAT,HBSTOCK
,,,,,,,,,RANASUG,SMIFS
,,,,,,,,,RANEENGINE,ISMTLTD
,,,,,,,,,RANEHOLDIN,SWITCHTE
,,,,,,,,,RATEGAIN,CTCL
,,,,,,,,,RATNAMANI,BARODARY
,,,,,,,,,RAYMOND,POONAWALLA
,,,,,,,,,RBA,PTC
,,,,,,,,,RBL,WHITHAL
,,,,,,,,,RBLBANK,ARVIND
,,,,,,,,,RCF,PRIMIND
,,,,,,,,,RECLTD,ICICI500
,,,,,,,,,REDINGTON,KPEL
,,,,,,,,,REFEX,PHOSPHATE
,,,,,,,,,RELAXO,REALECO
,,,,,,,,,RELCHEMQ,VIRAT
,,,,,,,,,RELIANCE,PNBHOUSING
,,,,,,,,,RELIGARE,PRIMAGR
,,,,,,,,,RELINFRA,AMERISE
,,,,,,,,,REMSONSIND,HEADSUP
,,,,,,,,,RENUKA,CHANDRIMA
,,,,,,,,,REPCOHOME,KAYPOWR
,,,,,,,,,REPL,VOLLF
,,,,,,,,,REPRO,PIFL
,,,,,,,,,RESPONIND,THYROCARE
,,,,,,,,,REVATHI,JAIBALAJI
,,,,,,,,,RGL,KLRFM
,,,,,,,,,RHFL,VJLAXMIE
,,,,,,,,,RHIM,LIKHAMI
,,,,,,,,,RICOAUTO,ACML
,,,,,,,,,RIIL,PRECAM
,,,,,,,,,RITCO,WORTH
,,,,,,,,,RITES,RNAVAL
,,,,,,,,,RKDL,GDLLEAS
,,,,,,,,,RKEC,RFLL
,,,,,,,,,RKFORGE,HBESD
,,,,,,,,,RML,KUANTUM
,,,,,,,,,ROHLTD,ALSTONE
,,,,,,,,,ROLEXRINGS,KAYNES
,,,,,,,,,ROLLT,SHEMAROO
,,,,,,,,,ROML,JKTYRE
,,,,,,,,,ROSSARI,BHARAT
,,,,,,,,,ROSSELLIND,SHRINIWAS
,,,,,,,,,ROTO,INNOVATIVE
,,,,,,,,,ROUTE,ACME
,,,,,,,,,RPGLIFE,CAMPUS
,,,,,,,,,RPOWER,PANAENERG
,,,,,,,,,RPPINFRA,VIVOBIOT
,,,,,,,,,RPPL,BPL
,,,,,,,,,RPSGVENT,JAYANT
,,,,,,,,,RSSOFTWARE,MEHIF
,,,,,,,,,RSWM,VANICOM
,,,,,,,,,RSYSTEMS,ASHOKRE
,,,,,,,,,RTNINDIA,OMINFRAL
,,,,,,,,,RTNPOWER,AVALON
,,,,,,,,,RUBYMILLS,CENTRALBK
,,,,,,,,,RUCHIRA,FLEXITUFF
,,,,,,,,,RUPA,INOXGREEN
,,,,,,,,,RUSHIL,TATIAGLOB
,,,,,,,,,RUSTOMJEE,RPIL
,,,,,,,,,RVHL,TANFACIND
,,,,,,,,,RVNL,JAIHINDS
,,,,,,,,,SADBHAV,KOTAKBANK
,,,,,,,,,SADBHIN,RAMAPHO
,,,,,,,,,SAFARI,CYBERMEDIA
,,,,,,,,,SAGARDEEP,UNIOFFICE
,,,,,,,,,SAGCEM,LAKSHMIMIL
,,,,,,,,,SAH,KRYPTONQ
,,,,,,,,,SAHYADRI,LIMECHM
,,,,,,,,,SAIL,BLUEDART
,,,,,,,,,SAKAR,SURANASOL
,,,,,,,,,SAKHTISUG,SHINDL
,,,,,,,,,SAKSOFT,NIESSPK
,,,,,,,,,SAKUMA,GINISILK
,,,,,,,,,SALASAR,PRECWIRE
,,,,,,,,,SALONA,WEL
,,,,,,,,,SALSTEEL,RAAJMEDI
,,,,,,,,,SALZERELEC,TRIOMERC
,,,,,,,,,SAMBHAAV,JSL
,,,,,,,,,SANDESH,ATVPR
,,,,,,,,,SANDHAR,AMBICAAGAR
,,,,,,,,,SANGAMIND,AJMERA
,,,,,,,,,SANGHIIND,BINANIIND
,,,,,,,,,SANGHVIMOV,IPCALAB
,,,,,,,,,SANGINITA,JAYIND
,,,,,,,,,SANOFI,GDTRAGN
,,,,,,,,,SANSERA,PETPLST
,,,,,,,,,SAPPHIRE,SIRCA
,,,,,,,,,SARDAEN,ANJANI
,,,,,,,,,SAREGAMA,PARSVNATH
,,,,,,,,,SARLAPOLY,ASHOKA
,,,,,,,,,SARVESHWAR,SKYLMILAR
,,,,,,,,,SASKEN,INNOCORP
,,,,,,,,,SASTASUNDR,INVENTURE
,,,,,,,,,SATIA,NEERAJ
,,,,,,,,,SATIN,YAANENT
,,,,,,,,,SATINDLTD,BNRUDY
,,,,,,,,,SBC,SRGHFL
,,,,,,,,,SBCL,HITTCO
,,,,,,,,,SBGLP,KBCGLOBAL
,,,,,,,,,SBICARD,BETXIND
,,,,,,,,,SBIETFCON,SBISENSEX
,,,,,,,,,SBIETFIT,NAZARA
,,,,,,,,,SBIETFPB,WARDINMOBI
,,,,,,,,,SBIETFQLTY,SUYOG
,,,,,,,,,SBILIFE,TRITONV
,,,,,,,,,SBIN,BOMBCYC
,,,,,,,,,SCAPDVR,SHAHLON
,,,,,,,,,SCHAEFFLER,JSLINDL
,,,,,,,,,SCHAND,HONDAPOWER
,,,,,,,,,SCHNEIDER,CGCL
,,,,,,,,,SCPL,GAL
,,,,,,,,,SDBL,MADHUCON
,,,,,,,,,SDL24BEES,DHRUV
,,,,,,,,,SDL26BEES,EVERESTIND
,,,,,,,,,SEAMECLTD,NIITLTD
,,,,,,,,,SECURCRED,FIVESTAR
,,,,,,,,,SECURKLOUD,BAJAJHCARE
,,,,,,,,,SELAN,POLYTEX
,,,,,,,,,SEPC,NEIL
,,,,,,,,,SEPOWER,ELEMARB
,,,,,,,,,SEQUENT,PCBL
,,,,,,,,,SESHAPAPER,BECTORFOOD
,,,,,,,,,SETCO,BHARATRAS
,,,,,,,,,SETF10GILT,JKPAPER
,,,,,,,,,SETFGOLD,GOODYEAR
,,,,,,,,,SETFNIF50,DECCAN
,,,,,,,,,SETFNIFBK,PRESSURS
,,,,,,,,,SETFNN50,GENSOL
,,,,,,,,,SFL,SETCO
,,,,,,,,,SGIL,RCL
,,,,,,,,,SGL,VARDMNPOLY
,,,,,,,,,SHAHALLOYS,KESORAMIND
,,,,,,,,,SHAILY,SHRICON
,,,,,,,,,SHAKTIPUMP,SWAGTAM
,,,,,,,,,SHALBY,SHRIGANG
,,,,,,,,,SHALPAINTS,TULASEEBIOE
,,,,,,,,,SHANKARA,NAGREEKEXP
,,,,,,,,,SHANTI,NUCLEUS
,,,,,,,,,SHANTIGEAR,STAR
,,,,,,,,,SHARDACROP,NATPLY
,,,,,,,,,SHARDAMOTR,ARCEEIN
,,,,,,,,,SHAREINDIA,MAHKTECH
,,,,,,,,,SHARIABEES,AUROLAB
,,,,,,,,,SHEMAROO,SADHNANIQ
,,,,,,,,,SHILPAMED,SYMPHONY
,,,,,,,,,SHIVALIK,ICICICOMMO
,,,,,,,,,SHIVAMAUTO,BSELINFRA
,,,,,,,,,SHIVAMILLS,FSL
,,,,,,,,,SHIVATEX,SUNCITYSY
,,,,,,,,,SHK,MUNJALSHOW
,,,,,,,,,SHOPERSTOP,APOLLOFI
,,,,,,,,,SHRADHA,PULSRIN
,,,,,,,,,SHREDIGCEM,MODIPON
,,,,,,,,,SHREECEM,MSUMI
,,,,,,,,,SHREEPUSHK,DCMFINSERV
,,,,,,,,,SHREERAMA,NAGPI
,,,,,,,,,SHRENIK,MILESTONE
,,,,,,,,,SHREYANIND,DYNAMIND
,,,,,,,,,SHREYAS,PANORAMA
,,,,,,,,,SHRIRAMFIN,SIMMOND
,,,,,,,,,SHRIRAMPPS,PDSL
,,,,,,,,,SHYAMCENT,OCTAL
,,,,,,,,,SHYAMMETL,ELANGO
,,,,,,,,,SHYAMTEL,TASTYBIT
,,,,,,,,,SIEMENS,GEOJITFSL
,,,,,,,,,SIGACHI,OLATECH
,,,,,,,,,SIGIND,COMPUPN
,,,,,,,,,SIKKO,PHOTON
,,,,,,,,,SILGO,ANDHRSUGAR
,,,,,,,,,SILINV,SAGAR
,,,,,,,,,SILLYMONKS,KRISHNACAP
,,,,,,,,,SILVER,OSCARGLO
,,,,,,,,,SILVERBEES,LAOPALA
,,,,,,,,,SILVERTUC,YASHINNO
,,,,,,,,,SIMBHALS,AVASARA
,,,,,,,,,SIMPLEXINF,PML
,,,,,,,,,SINTERCOM,ANUHPHR
,,,,,,,,,SIRCA,WALLFORT
,,,,,,,,,SIS,INTELSOFT
,,,,,,,,,SITINET,FINKURVE
,,,,,,,,,SIYSIL,ZEEMEDIA
,,,,,,,,,SJS,ESABINDIA
,,,,,,,,,SJVN,SANCF
,,,,,,,,,SKFINDIA,SOURCENTRL
,,,,,,,,,SKIPPER,POLYCHMP
,,,,,,,,,SKMEGGPROD,BNL
,,,,,,,,,SKYGOLD,RSDFIN
,,,,,,,,,SMARTLINK,RADAAN
,,,,,,,,,SMCGLOBAL,SUPERBAK
,,,,,,,,,SMLISUZU,TCI
,,,,,,,,,SMLT,ANG
,,,,,,,,,SMSLIFE,SBRANDS
,,,,,,,,,SMSPHARMA,ZIMLAB
,,,,,,,,,SNOWMAN,SHESHAINDS
,,,,,,,,,SOBHA,SETFBSE100
,,,,,,,,,SOFTTECH,COFFEEDAY
,,,,,,,,,SOLARA,CHEMCRUX
,,,,,,,,,SOLARINDS,SARVESHWAR
,,,,,,,,,SOMANYCERA,MAGADHSUGAR
,,,,,,,,,SOMICONVEY,MODISONLTD
,,,,,,,,,SONACOMS,EXPOGAS
,,,,,,,,,SONAMCLOCK,TIINDIA
,,,,,,,,,SONATSOFTW,TTLEL
,,,,,,,,,SOTL,ZBINTXPP
,,,,,,,,,SOUTHBANK,POLYMED
,,,,,,,,,SOUTHWEST,LUXIND
,,,,,,,,,SPAL,MADHUDIN
,,,,,,,,,SPANDANA,ERPSOFT
,,,,,,,,,SPARC,BTTL
,,,,,,,,,SPCENET,FMGOETZE
,,,,,,,,,SPECIALITY,NETWORK18
,,,,,,,,,SPENCERS,MMWL
,,,,,,,,,SPIC,AMARSEC
,,,,,,,,,SPICEJET,TIRSARJ
,,,,,,,,,SPLIL,RESGEN
,,,,,,,,,SPLPETRO,MOMENTUM
,,,,,,,,,SPMLINFRA,TIRUSTA
,,,,,,,,,SPORTKING,TMB
,,,,,,,,,SREEL,ASHOKALC
,,,,,,,,,SRF,BOMDYEING
,,,,,,,,,SRHHYPOLTD,KEI
,,,,,,,,,SRPL,TRILIANCE
,,,,,,,,,SSWL,KIRIINDUS
,,,,,,,,,STAR,PREMIERPOL
,,,,,,,,,STARCEMENT,EMERALD
,,,,,,,,,STARHEALTH,ESARIND
,,,,,,,,,STARPAPER,AHLEAST
,,,,,,,,,STARTECK,ICICISENSX
,,,,,,,,,STCINDIA,NILKAMAL
,,,,,,,,,STEELCAS,OPCHAINS
,,,,,,,,,STEELCITY,SBICARD
,,,,,,,,,STEELXIND,GGPL
,,,,,,,,,STEL,GSBFIN
,,,,,,,,,STERTOOLS,CARYSIL
,,,,,,,,,STLTECH,SHRENTI
,,,,,,,,,STOVEKRAFT,POEL
,,,,,,,,,STYLAMIND,GUJHOTE
,,,,,,,,,STYRENIX,VIPIND
,,,,,,,,,SUBEXLTD,ICICIPHARM
,,,,,,,,,SUBROS,PURPLE
,,,,,,,,,SUDARSCHEM,VERITAS
,,,,,,,,,SUKHJITS,EDUCOMP
,,,,,,,,,SULA,MODAIRY
,,,,,,,,,SUMICHEM,GUJTHEM
,,,,,,,,,SUMMITSEC,VARDHMAN
,,,,,,,,,SUNCLAYLTD,SHALBY
,,,,,,,,,SUNDARAM,RAMSONS
,,,,,,,,,SUNDARMFIN,COARO
,,,,,,,,,SUNDARMHLD,DEEPIND
,,,,,,,,,SUNDRMBRAK,RATNAMANI
,,,,,,,,,SUNDRMFAST,STARDELTA
,,,,,,,,,SUNFLAG,CSURGSU
,,,,,,,,,SUNPHARMA,SNOWMAN
,,,,,,,,,SUNTECK,AUROPHARMA
,,,,,,,,,SUNTV,BEMHY
,,,,,,,,,SUPERHOUSE,ASHOKLEY
,,,,,,,,,SUPERSPIN,BNRSEC
,,,,,,,,,SUPRAJIT,JASCH
,,,,,,,,,SUPREMEENG,RSCINT
,,,,,,,,,SUPREMEIND,JINDRILL
,,,,,,,,,SUPREMEINF,LGBFORGE
,,,,,,,,,SUPRIYA,ITHL
,,,,,,,,,SURANASOL,RATHIBAR
,,,,,,,,,SURANAT&P,SKIFL
,,,,,,,,,SURYALAXMI,ACCEL
,,,,,,,,,SURYAROSNI,SCL
,,,,,,,,,SURYODAY,INOVSYNTH
,,,,,,,,,SUTLEJTEX,MOQUALITY
,,,,,,,,,SUULD,HMVL
,,,,,,,,,SUVEN,SRESTHA
,,,,,,,,,SUVENPHAR,PATANJALI
,,,,,,,,,SUVIDHAA,ABMKNO
,,,,,,,,,SUZLON,ICLORGANIC
,,,,,,,,,SVPGLOB,ASSAMENT
,,,,,,,,,SWANENERGY,UNIVCABLES
,,,,,,,,,SWARAJENG,LOHIASEC
,,,,,,,,,SWELECTES,SUPERIOR
,,,,,,,,,SWSOLAR,VIRGOGLOB
,,,,,,,,,SYMPHONY,ZENTEC
,,,,,,,,,SYNCOMF,LONTE
,,,,,,,,,SYNGENE,HAWAENG
,,,,,,,,,SYRMA,HINDWAREAP
,,,,,,,,,TAINWALCHM,DRL
,,,,,,,,,TAJGVK,DCAL
,,,,,,,,,TAKE,SHRERA-RE
,,,,,,,,,TALBROAUTO,AURIONPRO
,,,,,,,,,TANLA,VASINFRA
,,,,,,,,,TARAPUR,ATAM
,,,,,,,,,TARC,SIIL
,,,,,,,,,TARMAT,HASTIFIN
,,,,,,,,,TARSONS,INDUSFINL
,,,,,,,,,TASTYBITE,KABSON
,,,,,,,,,TATACHEM,MAYURUNIQ
,,,,,,,,,TATACOFFEE,SLSTLQ
,,,,,,,,,TATACOMM,KANUNGO
,,,,,,,,,TATACONSUM,TNSTLTU
,,,,,,,,,TATAELXSI,SBC
,,,,,,,,,TATAINVEST,ACFL
,,,,,,,,,TATAMETALI,SCC
,,,,,,,,,TATAMOTORS,STEL
,,,,,,,,,TATAMTRDVR,AETHER
,,,,,,,,,TATAPOWER,TRIVENI
,,,,,,,,,TATASTEEL,RHIM
,,,,,,,,,TATASTLLP,WEBSL
,,,,,,,,,TATVA,ZSANMCOM
,,,,,,,,,TBZ,MAGNUM
,,,,,,,,,TCI,DCMSRMIND
,,,,,,,,,TCIEXP,SCAGRO
,,,,,,,,,TCNSBRANDS,SHANTIGURU
,,,,,,,,,TCPLPACK,GAYAHWS
,,,,,,,,,TCS,FORTIS
,,,,,,,,,TDPOWERSYS,PROCLB
,,,,,,,,,TEAMLEASE,ARSHIYA
,,,,,,,,,TECH,RBA
,,,,,,,,,TECHIN,QUINT
,,,,,,,,,TECHM,NEWINFRA
,,,,,,,,,TECHNOE,SAWABUSI
,,,,,,,,,TEGA,ONELIFECAP
,,,,,,,,,TEJASNET,NVENTURES
,,,,,,,,,TEMBO,UNOMINDA
,,,,,,,,,TERASOFT,ANURAS
,,,,,,,,,TEXINFRA,PALMJEWELS
,,,,,,,,,TEXMOPIPES,LAL
,,,,,,,,,TEXRAIL,KRETTOSYS
,,,,,,,,,TFCILTD,VISTAPH
,,,,,,,,,TFL,GHCLTEXTIL
,,,,,,,,,TGBHOTELS,KKCL
,,,,,,,,,THANGAMAYL,MUKESHB
,,,,,,,,,THEINVEST,MSPL
,,,,,,,,,THEMISMED,DEVITRD
,,,,,,,,,THERMAX,PARASPETRO
,,,,,,,,,THOMASCOOK,ORIRAIL
,,,,,,,,,THOMASCOTT,SAHYADRI
,,,,,,,,,THYROCARE,SYBLY
,,,,,,,,,TI,AXTEL
,,,,,,,,,TIDEWATER,GCKL
,,,,,,,,,TIIL,TNTELE
,,,,,,,,,TIINDIA,KDDL
,,,,,,,,,TIJARIA,CARGOSOL
,,,,,,,,,TIMESGTY,GARBIFIN
,,,,,,,,,TIMETECHNO,KPIGREEN
,,,,,,,,,TIMKEN,TATAINVEST
,,,,,,,,,TINPLATE,SUPRAJIT
,,,,,,,,,TIPSFILMS,BAJAJFINSV
,,,,,,,,,TIPSINDLTD,KRISHNA
,,,,,,,,,TIRUMALCHM,TAINWALCHM
,,,,,,,,,TIRUPATIFL,ASTRAL
,,,,,,,,,TITAN,CARGOTRANS
,,,,,,,,,TMB,RRMETAL
,,,,,,,,,TNIDETF,RCF
,,,,,,,,,TNPETRO,KICL
,,,,,,,,,TNPL,JAGAJITIND
,,,,,,,,,TOKYOPLAST,GOLKUNDIA
,,,,,,,,,TORNTPHARM,SANTOSHF
,,,,,,,,,TORNTPOWER,SAMOR
,,,,,,,,,TOTAL,RPEL
,,,,,,,,,TOUCHWOOD,RAJSREESUG
,,,,,,,,,TPLPLASTEH,SSTL
,,,,,,,,,TRACXN,PENIND
,,,,,,,,,TREEHOUSE,KVFORGE
,,,,,,,,,TREJHARA,PONNIERODE
,,,,,,,,,TRENT,CITIPOR
,,,,,,,,,TRF,CITYONLINE
,,,,,,,,,TRIDENT,KOTAKNIFTY
,,,,,,,,,TRIGYN,IBREALEST
,,,,,,,,,TRIL,GRAVITA
,,,,,,,,,TRITURBINE,PTL
,,,,,,,,,TRIVENI,NATIONALUM
,,,,,,,,,TRU,GLOSTERLTD
,,,,,,,,,TTKHLTCARE,AUSOMENT
,,,,,,,,,TTKPRESTIG,KIFS
,,,,,,,,,TTL,PRIYALT
,,,,,,,,,TTML,UPHOT
,,,,,,,,,TV18BRDCST,PANELEC
,,,,,,,,,TVSELECT,ONMOBILE
,,,,,,,,,TVSMOTOR,VGIL
,,,,,,,,,TVSSRICHAK,NUTECGLOB
,,,,,,,,,TVTODAY,DHABRIYA
,,,,,,,,,TVVISION,VOLTAMP
,,,,,,,,,TWL,JUMBO
,,,,,,,,,UBL,FACORALL
,,,,,,,,,UCALFUEL,SURBHIN
,,,,,,,,,UCOBANK,LICHSGFIN
,,,,,,,,,UDAICEMENT,COCKERILL
,,,,,,,,,UFLEX,ATISHAY
,,,,,,,,,UFO,AKCAPIT
,,,,,,,,,UGARSUGAR,SHVFL
,,,,,,,,,UGROCAP,SKIEL
,,,,,,,,,UJJIVAN,KPL
,,,,,,,,,UJJIVANSFB,SURFI
,,,,,,,,,ULTRACEMCO,SALORAINTL
,,,,,,,,,UMAEXPORTS,COMSYN
,,,,,,,,,UMANGDAIRY,VFL
,,,,,,,,,UMESLTD,SAMPRE
,,,,,,,,,UNICHEMLAB,HARDCAS
,,,,,,,,,UNIDT,TRESCON
,,,,,,,,,UNIENTER,VIVIDIND
,,,,,,,,,UNIINFO,SUPER
,,,,,,,,,UNIONBANK,AMBALALSA
,,,,,,,,,UNIPARTS,RIR
,,,,,,,,,UNITEDPOLY,VSDCONF
,,,,,,,,,UNITEDTEA,SHREYASI
,,,,,,,,,UNIVASTU,TINNATFL
,,,,,,,,,UNIVCABLES,MEDANTA
,,,,,,,,,UNIVPHOTO,DAIKAFFI
,,,,,,,,,UNOMINDA,SHRJAGP
,,,,,,,,,UPL,PENINLAND
,,,,,,,,,URJA,NIEHSPB
,,,,,,,,,USHAMART,STURDY
,,,,,,,,,UTIAMC,FMEC
,,,,,,,,,UTIBANKETF,LIKHITHA
,,,,,,,,,UTINEXT50,VELHO
,,,,,,,,,UTINIFTETF,ENIL
,,,,,,,,,UTISENSETF,TATACHEM
,,,,,,,,,UTISXN50,PWASML
,,,,,,,,,UTTAMSUGAR,TIMKEN
,,,,,,,,,V2RETAIL,JINDALPOLY
,,,,,,,,,VADILALIND,CHANDNIMACH
,,,,,,,,,VAIBHAVGBL,SUPERHOUSE
,,,,,,,,,VAISHALI,GGDANDE
,,,,,,,,,VAKRANGEE,SAURASHCEM
,,,,,,,,,VALIANTORG,ACFSL
,,,,,,,,,VARDHACRLC,VRWODAR
,,,,,,,,,VARDMNPOLY,EMERALL
,,,,,,,,,VARROC,GSTL
,,,,,,,,,VASCONEQ,GUJAPOLLO
,,,,,,,,,VASWANI,
,,,,,,,,,VBL,ADVANIHOTR
,,,,,,,,,VCL,ZSOUTGAS
,,,,,,,,,VEDL,SWASTIKA
,,,,,,,,,VENKEYS,MAJESAUT
,,,,,,,,,VENUSPIPES,QGO
,,,,,,,,,VENUSREM,
,,,,,,,,,VERANDA,RBLBANK
,,,,,,,,,VERTOZ,GALLOPENT
,,,,,,,,,VESUVIUS,GUFICBIO
,,,,,,,,,VETO,JHS
,,,,,,,,,VGUARD,AMARJOTHI
,,,,,,,,,VHL,ANGEL
,,,,,,,,,VIDHIING,AVANCE
,,,,,,,,,VIJAYA,EXCEL
,,,,,,,,,VIJIFIN,SVPHOUSING
,,,,,,,,,VIKASECO,PARSHWANA
,,,,,,,,,VIKASLIFE,INNOKAIZ
,,,,,,,,,VIMTALABS,DAAWAT
,,,,,,,,,VINATIORGA,SUNILTX
,,,,,,,,,VINDHYATEL,IRONWOOD
,,,,,,,,,VINEETLAB,ELEFLOR
,,,,,,,,,VINYLINDIA,ISGEC
,,,,,,,,,VIPCLOTHNG,CHEMTECH
,,,,,,,,,VIPIND,SURYAKR
,,,,,,,,,VIPULLTD,SHRIKRISH
,,,,,,,,,VISAKAIND,ARIHANT
,,,,,,,,,VISESHINFO,BLACKROSE
,,,,,,,,,VISHAL,ORTINLAABS
,,,,,,,,,VISHNU,CAMLINFINE
,,,,,,,,,VISHWARAJ,LAKSELEC
,,,,,,,,,VIVIDHA,RICOAUTO
,,,,,,,,,VLSFINANCE,STYLAMIND
,,,,,,,,,VMART,DEL
,,,,,,,,,VOLTAMP,COMPUAGE
,,,,,,,,,VOLTAS,CORAGRO
,,,,,,,,,VRLLOG,DECNGOLD
,,,,,,,,,VSSL,SVCIND
,,,,,,,,,VSTIND,ICICIALPLV
,,,,,,,,,VSTTILLERS,GKP
,,,,,,,,,VTL,CLEDUCATE
,,,,,,,,,WABAG,COMFINTE
,,,,,,,,,WALCHANNAG,ADORFO
,,,,,,,,,WATERBASE,SUPRATRE
,,,,,,,,,WEALTH,NIHARINF
,,,,,,,,,WEBELSOLAR,AUTOPINS
,,,,,,,,,WEIZMANIND,SKCIL
,,,,,,,,,WEL,FCONSUMER
,,,,,,,,,WELCORP,SAHLIBHFI
,,,,,,,,,WELENT,RKFORGE
,,,,,,,,,WELINV,REGTRUS
,,,,,,,,,WELSPUNIND,FINEORG
,,,,,,,,,WENDT,SUCROSA
,,,,,,,,,WESTLIFE,SAMRATFORG
,,,,,,,,,WEWIN,REGENCY
,,,,,,,,,WHEELS,SUVEN
,,,,,,,,,WHIRLPOOL,DUCON
,,,,,,,,,WILLAMAGOR,VITESSE
,,,,,,,,,WINDLAS,JAGSONFI
,,,,,,,,,WINDMACHIN,AMITINT
