NIFTY 20,NIFTY 50,NIFTY NEXT 50,NIFTY 200,NIFTY MIDCAP 50,NIFTY MIDCAP 100,NIFTY MIDSMALLCAP 400,NIFTY TOTAL MARKET,NIFTY 200 cv,NSC ALL,BSE ALL
,,,MARUTI,,,BATAINDIA,WABAG,PFC,AUTOAXLES,INTRGLB
,,,HINDALCO,,,KAJARIACER,PATANJALI,BANKBARODA,AUTOBEES,RISHITECH
,,,ZYDUSLIFE,,,ACI,MHRIL,ONGC,AUTOIND,POWERMECH
,,,PAYTM,,,LAURUSLABS,ANURAS,IEX,AVADHSUGAR,RESONANCE
,,,TATAPOWER,,,GRAPHITE,DCAL,INDUSTOWER,AVANTIFEED,POONADAL
,,,ABBOTINDIA,,,EIHOTEL,SCHNEIDER,ABCAPITAL,AVONMORE,PRABHHANS
,,,IDFCFIRSTB,,,PVRINOX,PTC,ASHOKLEY,AVROIND,BRAHMINFRA
,,,AUBANK,,,ITI,INDIAMART,NYKAA,AVTNPL,SYSTMTXC
,,,POWERGRID,,,LINDEINDIA,ERIS,FEDERALBNK,AWHCL,QNIFTY
,,,DEVYANI,,,VARROC,POONAWALLA,RECLTD,AWL,RADIANTCMS
,,,SHRIRAMFIN,,,HLEGLAS,FILATEX,GAIL,AXISBANK,RAPICUT
,,,SHREECEM,,,DELTACORP,ASTRAL,TATASTEEL,AXISBNKETF,APIS
,,,ITC,,,ASTERDM,SOBHA,BEL,AXISBPSETF,RAJABAH
,,,COLPAL,,,JINDALSTEL,MFSL,SAIL,AXISCADES,SAILANI
,,,BANKINDIA,,,ZEEL,MINDACORP,NATIONALUM,AXISCETF,RCCL
,,,COALINDIA,,,TATACHEM,MSUMI,IOC,AXISGOLD,RCOM
,,,LICHSGFIN,,,TMB,SAGCEM,MOTHERSON,AXISHCETF,RDBRIL
,,,RAMCOCEM,,,CUB,3MINDIA,BHEL,AXISILVER,RDBRL
,,,TIINDIA,,,KALYANKJIL,RECLTD,BANKINDIA,AXISNIFTY,RELIANCE
,,,NTPC,,,DALBHARAT,MCDOWELL-N,UNIONBANK,AXISTECETF,YARNSYN
,,,RELIANCE,,,CHAMBLFERT,HCLTECH,TTML,AXITA,SALASAR
,,,HDFCBANK,,,UNIONBANK,SPARC,IDFCFIRSTB,AXSENSEX,PHOENIXLTD
,,,JSWENERGY,,,NAVINFLUOR,IGL,ZOMATO,AYMSYNTEX,SASHWAT
,,,HDFC,,,DCMSHRIRAM,CAMLINFINE,PNB,BAGFILMS,JUBLPHARMA
,,,HAL,,,PNB,GLAND,MSUMI,BAIDFIN,KABRADG
,,,ONGC,,,UCOBANK,MARICO,TRIDENT,BAJAJ-AUTO,SIGMA
,,,ADANITRANS,,,IRB,NEOGEN,YESBANK,BAJAJCON,SONALAD
,,,FORTIS,,,RAIN,AMARAJABAT,IDEA,BAJAJELEC,RITHWIKFMS
,,,TORNTPOWER,,,ZFCVINDIA,CRISIL,BSE:NAM-EURONEXT:INDIA,BAJAJFINSV,TGBHOTELS
,,,VEDL,,,CLEAN,HBLPOWER,BAJAJ-AUTO,BAJAJHCARE,STARLITE
,,,AXISBANK,,,CESC,GODREJCP,MCDOWELL-N,BAJAJHIND,SURYVANSP
,,,ATGL,,,ZYDUSWELL,NEWGEN,,BAJAJHLDNG,SUTLEJTEX
,,,DELHIVERY,,,CROMPTON,DISHTV,,BAJFINANCE,STARLIT
,,,SONACOMS,,,AARTIIND,HAPPSTMNDS,,BALAJITELE,TASHIND
